Timestamp,Activity
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
18:08:19,1
